"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 25 11:05:02 GMT 2025","Tue Mar 25 11:05:02 GMT 2025","17","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRegisterMissingUserId","testRegisterMissingUserId()",""
"passed","Tue Mar 25 11:05:00 GMT 2025","Tue Mar 25 11:05:02 GMT 2025","2163","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testUserRegistration","Тест регистрации пользователя",""
"passed","Tue Mar 25 11:05:02 GMT 2025","Tue Mar 25 11:05:04 GMT 2025","1866","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus_Active","testGetUserStatus_Active()",""
"passed","Tue Mar 25 11:05:02 GMT 2025","Tue Mar 25 11:05:02 GMT 2025","15","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testMonthlyActivityInvalidUserId","testMonthlyActivityInvalidUserId()",""
"passed","Tue Mar 25 11:05:02 GMT 2025","Tue Mar 25 11:05:02 GMT 2025","15","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetTotalActivityMissingUserId","testGetTotalActivityMissingUserId()",""
"passed","Tue Mar 25 11:05:02 GMT 2025","Tue Mar 25 11:05:02 GMT 2025","30","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testMonthlyActivityMissingParameters","testMonthlyActivityMissingParameters()",""
"passed","Tue Mar 25 11:05:02 GMT 2025","Tue Mar 25 11:05:02 GMT 2025","23","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSession","Тест записи сессии",""
"passed","Tue Mar 25 11:05:02 GMT 2025","Tue Mar 25 11:05:02 GMT 2025","45","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSessionMissingParameters","testRecordSessionMissingParameters()",""
"passed","Tue Mar 25 11:05:04 GMT 2025","Tue Mar 25 11:05:04 GMT 2025","4","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus_HighlyActive","testGetUserStatus_HighlyActive()",""
"passed","Tue Mar 25 11:05:02 GMT 2025","Tue Mar 25 11:05:02 GMT 2025","14","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testInactiveUsersWrongDaysFormat","testInactiveUsersWrongDaysFormat()",""
"passed","Tue Mar 25 11:05:04 GMT 2025","Tue Mar 25 11:05:04 GMT 2025","19","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus_NoSessions","testGetUserStatus_NoSessions()",""
"passed","Tue Mar 25 11:05:02 GMT 2025","Tue Mar 25 11:05:02 GMT 2025","15","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSessionInvalidUserId","testRecordSessionInvalidUserId()",""
"passed","Tue Mar 25 11:05:02 GMT 2025","Tue Mar 25 11:05:02 GMT 2025","50","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetTotalActivity","Тест получения общего времени активности",""
"passed","Tue Mar 25 11:05:04 GMT 2025","Tue Mar 25 11:05:04 GMT 2025","4","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus_Inactive","testGetUserStatus_Inactive()",""
"passed","Tue Mar 25 11:05:02 GMT 2025","Tue Mar 25 11:05:02 GMT 2025","17","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testInactiveUsersMissingDays","testInactiveUsersMissingDays()",""
"passed","Tue Mar 25 11:05:02 GMT 2025","Tue Mar 25 11:05:02 GMT 2025","18","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRegisterMissingUserName","testRegisterMissingUserName()",""
